Wavelength,QLS-L表壤模拟物
1305,0.108526275
1306,0.108570077
1307,0.108590052
1308,0.108606607
1309,0.10863515
1310,0.108654536
1311,0.108647116
1312,0.108658209
1313,0.108689725
1314,0.108707383
1315,0.10871312
1316,0.10871885
1317,0.108706467
1318,0.108734362
1319,0.108802542
1320,0.108825319
1321,0.108844474
1322,0.108870089
1323,0.108865105
1324,0.108871818
1325,0.108903468
1326,0.108930394
1327,0.108948641
1328,0.108964205
1329,0.108971171
1330,0.108980514
1331,0.108995989
1332,0.109000139
1333,0.109011017
1334,0.109041102
1335,0.109047428
1336,0.109027132
1337,0.109028824
1338,0.109044723
1339,0.109050088
1340,0.109052949
1341,0.109063171
1342,0.109064139
1343,0.109070964
1344,0.109100252
1345,0.10911078
1346,0.109103084
1347,0.109104455
1348,0.109098487
1349,0.109106146
1350,0.109105982
1351,0.109114461
1352,0.109107494
1353,0.109075971
1354,0.109083407
1355,0.109105647
1356,0.109119385
1357,0.109159805
1358,0.109176047
1359,0.10917566
1360,0.109175809
1361,0.109179005
1362,0.109164715
1363,0.109122135
1364,0.109103382
1365,0.109089091
1366,0.109076083
1367,0.109089606
1368,0.109079666
1369,0.109051049
1370,0.109027267
1371,0.109003074
1372,0.108956888
1373,0.108941652
1374,0.108949177
1375,0.108916879
1376,0.10887146
1377,0.108839639
1378,0.108786285
1379,0.108749263
1380,0.108735755
1381,0.108713418
1382,0.108678207
1383,0.10865768
1384,0.108651474
1385,0.108646445
1386,0.108648896
1387,0.108645752
1388,0.108662911
1389,0.108646072
1390,0.108589359
1391,0.108562082
1392,0.108525872
1393,0.108503871
1394,0.108505368
1395,0.108512379
1396,0.108531557
1397,0.108530886
1398,0.108566426
1399,0.108637899
1400,0.108673871
1401,0.108711094
1402,0.108738482
1403,0.10874591
1404,0.10876371
1405,0.108777553
1406,0.108808711
1407,0.108845107
1408,0.108876005
1409,0.108926244
1410,0.108959235
1411,0.10897433
1412,0.108998731
1413,0.109030746
1414,0.109054387
1415,0.109067164
1416,0.109088324
1417,0.109102644
1418,0.109114915
1419,0.10912887
1420,0.109154694
1421,0.10914126
1422,0.109156087
1423,0.1091775
1424,0.109181397
1425,0.109199971
1426,0.10923139
1427,0.10925246
1428,0.109272584
1429,0.109291434
1430,0.109300524
1431,0.109324805
1432,0.109365419
1433,0.109380044
1434,0.109396808
1435,0.109399006
1436,0.109355099
1437,0.109349787
1438,0.109368831
1439,0.109379254
1440,0.10942322
1441,0.10943266
1442,0.10940405
1443,0.109398343
1444,0.109383702
1445,0.109382592
1446,0.109418295
1447,0.109427281
1448,0.109412059
1449,0.109424427
1450,0.109419435
1451,0.109399378
1452,0.109395146
1453,0.109392315
1454,0.109405838
1455,0.109436288
1456,0.109453999
1457,0.109488681
1458,0.109492622
1459,0.109467328
1460,0.109467506
1461,0.109461926
1462,0.109472103
1463,0.109505229
1464,0.109518491
1465,0.109528758
1466,0.109536849
1467,0.109528907
1468,0.109539323
1469,0.109564558
1470,0.109571621
1471,0.109574698
1472,0.109573595
1473,0.109561279
1474,0.109542713
1475,0.1095092
1476,0.10949567
1477,0.109491639
1478,0.109484114
1479,0.109495297
1480,0.1095002
1481,0.10950654
1482,0.10950429
1483,0.109509602
1484,0.109531358
1485,0.10954015
1486,0.109546363
1487,0.109556518
1488,0.109568633
1489,0.109576322
1490,0.109582894
1491,0.109586507
1492,0.109591879
1493,0.10958761
1494,0.109579213
1495,0.10957399
1496,0.109555863
1497,0.109553918
1498,0.109570995
1499,0.109570891
1500,0.109570473
1501,0.10956385
1502,0.109527826
1503,0.109525874
1504,0.109542042
1505,0.109551027
1506,0.109581888
1507,0.109595329
1508,0.10960196
1509,0.109601378
1510,0.109593406
1511,0.109583721
1512,0.109554633
1513,0.109540083
1514,0.109533697
1515,0.10952989
1516,0.109537385
1517,0.109541118
1518,0.109545805
1519,0.109543972
1520,0.109544523
1521,0.109551035
1522,0.109544188
1523,0.109534413
1524,0.109517045
1525,0.109488346
1526,0.109464735
1527,0.109436966
1528,0.109418876
1529,0.109400824
1530,0.109392561
1531,0.109394863
1532,0.10938745
1533,0.109379582
1534,0.109373719
1535,0.109360851
1536,0.109362088
1537,0.109368779
1538,0.109382138
1539,0.109420329
1540,0.109424509
1541,0.109413125
1542,0.109412104
1543,0.109386668
1544,0.1093852
1545,0.109415568
1546,0.109425202
1547,0.10943345
1548,0.109436616
1549,0.109432809
1550,0.109425433
1551,0.10940928
1552,0.109396324
1553,0.109386824
1554,0.109369427
1555,0.109346069
1556,0.109328397
1557,0.109296575
1558,0.109285101
1559,0.109296307
1560,0.109300636
1561,0.109318189
1562,0.109323926
1563,0.109325409
1564,0.109316282
1565,0.109287664
1566,0.109269924
1567,0.109242551
1568,0.109226055
1569,0.109220788
1570,0.109239846
1571,0.109220572
1572,0.109195918
1573,0.109168254
1574,0.109106973
1575,0.109101564
1576,0.109130904
